1001N1100000000EDGBR,1001N1100000000EDGBV,0001F11000000002ZOWM,25.0g*26.5mm*4000m,NC092009081514514917,14469,2.65,NC152009081514515029,5460,40,二区,(null),1002,0001A8100000000012V3
1001N1100000000EFGMB,1001N1100000000EFGMC,0001F11000000002V8Y9,26.5g*26.5mm*5000m,NC092009081514514917,15730.4,3.51125,NC152009081514515029,4480,10,一区,(null),1002,0001A8100000000011QZ
1001N1100000000EG17O,1001N1100000000EG17P,0001F11000000000FYR1,3.9Y31000,NC092009081514514917,37000,500,NC122009081514514958,74,10,珠纤,(null),1003,0001A810000000000P78
1001N1100000000ELZZO,1001N1100000000ELZZP,0001F11000000002V8Y9,26.5g*26.5mm*5000m,NC092009081514514917,47191.2,3.51125,NC152009081514515029,13440,10,白狼安阳外加工,(null),1002,0001A8100000000011QZ
1001N1100000000ELZZO,1001N1100000000ELZZQ,0001F11000000002V8Y9,26.5g*26.5mm*5000m,NC092009081514514917,15730.4,3.51125,NC152009081514515029,4480,20,白狼安阳外加工,(null),1002,0001A8100000000011QZ
1001N1100000000EN11D,1001N1100000000EN11E,0001F11000000002H65A,144mm*24.1mm*4200Pa(10000CU),NC372009081514514929,20,0,(null),0,10,(null),(null),1002,0001A810000000000PGM
1001N1100000000EN11D,1001N1100000000EN11F,0001F1100000000BUTCJ,120mm*22.1mm*3200Pa,NC372009081514514929,275,0,(null),0,20,(null),(null),1002,0001A810000000000PGM
1001N1100000000EN2CJ,1001N1100000000EN2CK,0001F11000000007DQ31,25.0g*26.5mm*5500m,NC092009081514514917,1020.25,3.64375,NC152009081514515029,280,10,(null),(null),1003,0001A8100000000012V3
1001N1100000000EN2CJ,1001N1100000000EN2CL,0001F11000000002C5YS,25.0g*27.0mm*5500m,NC092009081514514917,12474,3.7125,NC152009081514515029,3360,20,(null),(null),1003,0001A8100000000012V3
1001N1100000000EN2CJ,1001N1100000000EN2CM,0001F11000000000FZFN,26.5g*26.5mm*5000m,NC092009081514514917,55056.4,3.51125,NC152009081514515029,15680,30,(null),(null),1003,0001A8100000000012V3
1001N1100000000EN2CJ,1001N1100000000EN2CN,0001F11000000000LWP5,26.5g*53.0mm*5000m,NC092009081514514917,14157.36,7.0225,NC152009081514515029,2016,40,(null),(null),1003,0001A8100000000012V3
1001N1100000000EN2CJ,1001N1100000000EN2CO,0001F11000000007DQ2C,25.5g*26.25mm*4000m,NC092009081514514917,374.85,2.6775,NC152009081514515029,140,50,(null),(null),1003,0001A8100000000012V3
1001N1100000000EN0KD,1001N1100000000EN0KE,0001F11000000001F0K1,32.0g*26.5mm*4000m,NC092009081514514917,1899.52,3.392,NC152009081514515029,560,10,(null),(null),1003,0001A8100000000011QZ
1001N1100000000EN0KD,1001N1100000000EN0KF,0001F11000000002F63R,32.0g*53.0mm*4000m,NC092009081514514917,13676.544,6.784,NC152009081514515029,2016,20,(null),(null),1003,0001A8100000000011QZ
1001N1100000000EN2CP,1001N1100000000EN2CQ,0001F11000000000FZ81,28.0g*26.5mm*4000m,NC092009081514514917,29869.952,2.968,NC152009081514515029,10064,10,(null),(null),1003,0001A810000000000WBJ
1001N1100000000EN2CP,1001N1100000000EN2CR,0001F11000000000LWOP,28.0g*26.5mm*5000m,NC092009081514514917,5045.6,3.71,NC152009081514515029,1360,20,(null),(null),1003,0001A810000000000WBJ
1001N1100000000EN0KG,1001N1100000000EN0KH,0001F11000000004DQ8C,27.0g*26.5mm*5000m,NC092009081514514917,16027.2,3.5775,NC152009081514515029,4480,10,(null),(null),1003,0001A8100000000011QZ
1001N1100000000ENI85,1001N1100000000ENI86,0001F11000000000LLTW,120mm*19.8mm*3000Pa(10000CU),NC372009081514514929,1170,0,(null),0,10,(null),(null),1002,0001A810000000000PGM
1001N1100000000ENI85,1001N1100000000ENI87,0001F1100000000BUTCJ,120mm*22.1mm*3200Pa,NC372009081514514929,250,0,(null),0,20,(null),(null),1002,0001A810000000000PGM
1001N1100000000EQI0B,1001N1100000000EQI0C,0001F1100000000CGWTD,108mm*24.1mm*3100Pa(10000CU),NC372009081514514929,130,0,(null),0,10,(null),(null),1002,0001A810000000000PGM
1001N1100000000EQF3Y,1001N1100000000EQF3Z,0001F110000000036776,32.0g*26.5mm*4000m,NC092009081514514917,474.88,3.392,NC152009081514515029,140,10,130123,(null),1002,0001A81000000000147H
1001N1100000000EQF3Y,1001N1100000000EQF40,0001F11000000001UZGT,27.0g*53.0mm*5000m,NC092009081514514917,18316.8,7.155,NC152009081514515029,2560,20,0301-1,(null),1002,0001A810000000000WBJ
1001N1100000000EQF3Y,1001N1100000000EQF41,0001F11000000006AH3B,29.0g*26.5mm*5000m,NC092009081514514917,10759,3.8425,NC152009081514515029,2800,30,130301-2,(null),1002,0001A8100000000011QZ
1001N1100000000EQF3Y,1001N1100000000EQF42,0001F11000000009DM8I,26.5g*26.5mm*5000m,NC092009081514514917,4915.75,3.51125,NC152009081514515029,1400,40,130301-3,(null),1002,0001A8100000000011QZ
1001N1100000000EQLC8,1001N1100000000EQLC9,0001F11000000000FZ81,28.0g*26.5mm*4000m,NC092009081514514917,17095.68,2.968,NC152009081514515029,5760,10,0301-2,(null),1002,0001A810000000000WBJ
1001N1100000000EQSF6,1001N1100000000EQSF7,0001F11000000004DQ8C,27.0g*26.5mm*5000m,NC092009081514514917,10868.445,3.5775,NC152009081514515029,3038,10,130301-1,(null),1002,0001A8100000000011QZ
1001N1100000000EQSF6,1001N1100000000EQSF8,0001F11000000000FZ81,28.0g*26.5mm*4000m,NC092009081514514917,14958.72,2.968,NC152009081514515029,5040,20,130301-4,(null),1002,0001A8100000000011QZ
1001N1100000000EQLCB,1001N1100000000EQLCC,0001F11000000000FYJH,30.0g*25.0mm*5000m,NC092009081514514917,2625,3.75,NC152009081514515029,700,10,130301-1,(null),1002,0001A8100000000012V3
1001N1100000000EQLCB,1001N1100000000EQLCD,0001F11000000002ZOWM,25.0g*26.5mm*4000m,NC092009081514514917,15211,2.65,NC152009081514515029,5740,20,130301-3,(null),1002,0001A8100000000012V3
