1001N1100000000EQT0I,SP221302271121,2013-02-27,0001A810000000000P74,1001,1001F110000000055J9L,2013-02-27,1001F110000000055J9L,1001A810000000000CMX,2012NGEQ/912209US (19.373，77.695),N
1001N1100000000EQL20,SP221302271122,2013-02-27,0001A810000000000P74,1001,1001F110000000055J9L,2013-02-27,1001F110000000055J9L,1001A810000000000CMX,2013NGEQ/912025JP 99.977MT,N
1001N1100000000EQLSX,SP221302271123,2013-02-27,0001A810000000000P74,1001,1001F110000000055J9L,2013-02-27,1001F110000000055J9L,1001A810000000000CMX,2013NGEQ/912025JP 99.937MT,N
1001N1100000000EQL22,SP221302271124,2013-02-27,0001A810000000000P74,1001,1001F110000000055J9L,2013-02-27,1001F110000000055J9L,1001A810000000000CMX,2013NGEQ/912025JP 99.926MT,N
1001N1100000000EV08E,SP221302281129,2013-02-28,0001A810000000000PGM,1001,1001F11000000000MPUJ,2013-02-28,1001F11000000000MPUJ,1001A810000000000CMX,厦烟2月订单,N
1001N1100000000EYM05,SP221303081134,2013-02-28,0001A810000000000P78,1001,1001F11000000000MPUJ,2013-03-08,1001F11000000000MPUJ,1001A810000000000CMX,龙烟3月国产丝束,N
1001N1100000000EURV9,SP221302281127,2013-02-28,0001A810000000000P74,1001,1001F110000000055J9L,2013-02-28,1001F110000000055J9L,1001A810000000000CMX,2013NGEQ/912014US 99.535MT,N
1001N1100000000EV030,SP221302281128,2013-02-28,0001A810000000000P74,1001,1001F110000000055J9L,2013-02-28,1001F110000000055J9L,1001A810000000000CMX,2013NGEQ/912014US 99.25MT,N
1001N1100000000EZLD8,SP221303121140,2013-02-28,0001A810000000000P74,1001,1001F110000000055J9L,2013-02-28,1001F110000000055J9L,1001A810000000000CMX,2013NGEQ/912050US 198.734MT,N
1001N1100000000EW2UK,SP221303011130,2013-03-01,0001A810000000000X41,1001,1001F11000000000MPUF,2013-03-01,1001F11000000000MPUF,1001A810000000000CMX,(null),N
1001N1100000000EWSOA,SP221303041131,2013-03-04,0001A8100000000011QZ,1001,1001F11000000000MPUF,2013-03-04,1001F11000000000MPUF,1001A810000000000CMX,(null),N
